title,console,genre_x,publisher,developer_x,critic_score,total_sales,release_date_x,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Count,User_Count,Rating,positive_critics,neutral_critics,negative_critics,positive_users,neutral_users,negative_users,user_score,Title,Publisher,Genre,Platform,Metascore,Avg_Userscore,No_Players,company,stock
Bayonetta,PS3,Action,Sega,PlatinumGames,86.0,1.21,2010-01-05,0.44,0.39,0.21,0.16,1.21,54.0,355.0,M,,,,,,,72.0,Bayonetta,NexEntertainment,Action;Action Adventure;Beat-'Em-Up;Fantasy;Beat-'Em-Up;Linear,PS3,87.0,77.0,No Online Multiplayer,Sega,6460.T
Dino Crisis 2,PS,Action,Capcom,Capcom Production Studio 4,88.0,1.21,2000-09-29,0.34,0.49,0.28,0.1,1.21,13.0,91.0,M,,,,,,,90.0,Dino Crisis 2,Capcom,Action Adventure;Sci-Fi,PS,86.0,91.0,1 Player,Capcom,CCOEF
God of War: Ghost of Sparta,PSP,Action,Sony Computer Entertainment,Ready at Dawn,83.0,1.0,2010-11-02,0.41,0.35,0.03,0.21,1.0,73.0,255.0,M,,,,,,,84.0,God of War: Ghost of Sparta,ReadyatDawn,Action Adventure;Fantasy;Fantasy;Linear,PSP,86.0,85.0,No Online Multiplayer,Sony,SONY
Metal Gear Solid: Portable Ops,PSP,Action,Konami,Kojima Productions,87.0,1.19,2006-12-05,0.38,0.35,0.38,0.08,1.18,54.0,147.0,M,,,,,,,82.0,Metal Gear Solid: Portable Ops,KojimaProductions,Action Adventure;Modern;General;Modern,PSP,87.0,82.0,6  Online,Konami,9766.T
Hitman 2: Silent Assassin,XB,Action,Eidos Interactive,IO Interactive,84.0,1.19,2002-09-30,0.76,0.38,0.0,0.05,1.19,23.0,19.0,M,,,,,,,80.0,Hitman 2: Silent Assassin,IoInteractive,Action Adventure;Modern,XB,84.0,79.0,1 Player,Square Enix,SQNXF
Spider-Man: The Movie,GC,Action,Activision,Treyarch,76.0,1.19,2002-04-15,0.86,0.27,0.01,0.04,1.19,14.0,11.0,E,,,,,,,73.0,,,,,,,,Activision Blizzard,ATVI
Red Dead Redemption: Undead Nightmare,PS3,Action,Rockstar Games,Rockstar San Diego,100.0,1.18,2010-11-23,0.45,0.45,0.06,0.18,1.14,,17.0,M,,,,,,,74.0,,,,,,,,Take Two Interactive,TTWO
Sunset Overdrive,XOne,Action,Microsoft Studios,Insomniac Games,80.0,1.16,2014-10-28,0.63,0.4,0.0,0.1,1.14,89.0,1137.0,M,72.0,17.0,0.0,249.0,41.0,24.0,77.0,Sunset Overdrive,InsomniacGames,General;Action;General;Shooter;Third-Person;Arcade,XOne,81.0,78.0,Up to 8 ,Microsoft,MSFT
LEGO City Undercover,WiiU,Action,Nintendo,TT Fusion,75.0,1.1,2013-03-18,0.47,0.42,0.13,0.08,1.1,66.0,283.0,E10+,52.0,14.0,0.0,51.0,4.0,2.0,82.0,LEGO City Undercover,TTGames,Action Adventure;Fantasy;General;Fantasy;Open-World,WiiU,80.0,83.0,No Online Multiplayer,Nintendo,NTDOY
Ninja Gaiden II,X360,Action,Microsoft,Team Ninja,82.0,1.01,2008-06-03,0.65,0.22,0.05,0.1,1.01,74.0,302.0,M,,,,,,,80.0,Ninja Gaiden II,"TeamNinja,Tecmo",Action Adventure;Fantasy;General;Fantasy,X360,81.0,80.0,1 Player,Microsoft,MSFT
