,title,release_date,company,stock,console,genre_x,critic_score,total_sales,user_score
400,Smarty Pants,2007-11-13,EA,EA,Wii,Misc,65.0,1.43,76.0
403,Spore Hero,2009-10-06,EA,EA,Wii,Simulation,58.0,0.4,71.0
404,Spore Hero Arena,2009-10-06,EA,EA,DS,Simulation,49.0,0.19,26.0
406,Superman Returns,2006-11-20,EA,EA,"X360, DS",Action,44.0,0.33,55.5
409,The Godfather II,2009-04-07,EA,EA,"X360, PS3",Adventure,63.0,1.53,70.5
411,The Godfather: Mob Wars,2006-09-19,EA,EA,PSP,Action,62.0,0.1,79.0
412,The Lord of the Rings: Conquest,2009-01-13,EA,EA,"PS3, X360, DS, PC",Action,57.75,1.5,71.5
424,The Simpsons Game,2007-10-30,EA,EA,"DS, PS2, X360, Wii, PS3",Platform,69.0,5.96,73.6
425,The Simpsons Game,2007-11-05,EA,EA,PSP,Platform,60.0,1.08,67.0
426,The Simpsons Skateboarding,2002-11-11,EA,EA,PS2,Sports,38.0,1.52,50.0
427,The Simpsons: Road Rage,2001-11-24,EA,EA,PS2,Racing,61.0,3.61,77.0
428,The Simpsons: Road Rage,2001-12-01,EA,EA,XB,Racing,61.0,1.05,83.0
429,The Simpsons: Road Rage,2001-12-17,EA,EA,GC,Racing,60.0,0.24,77.0
436,The Sims 2,2005-12-07,EA,EA,PSP,Simulation,62.0,1.38,69.0
438,The Sims 2: Apartment Pets,2008-08-26,EA,EA,DS,Simulation,50.0,0.69,33.0
440,The Sims 2: Castaway,2007-10-22,EA,EA,"PSP, DS, PS2",Simulation,67.0,1.88,64.33333333333333
445,The Sims 2: Pets,2006-10-31,EA,EA,DS,Simulation,48.0,2.07,52.0
446,The Sims 2: Pets,2006-12-14,EA,EA,PSP,Simulation,58.0,0.8,73.0
447,The Sims 2: Pets,2007-06-12,EA,EA,Wii,Simulation,65.0,0.47,73.0
452,The Sims 3,2011-03-27,EA,EA,3DS,Simulation,56.0,0.77,33.0
454,The Sims 3: Generations,2011-05-31,EA,EA,PC,Simulation,65.0,0.63,36.0
474,Tiger Woods PGA Tour,2004-12-14,EA,EA,DS,Sports,64.0,0.15,74.0
478,Tiger Woods PGA Tour 06,2005-11-16,EA,EA,X360,Sports,69.0,0.31,74.0
499,Trivial Pursuit,2009-03-10,EA,EA,"X360, PS3",Misc,66.0,0.65,67.5
500,Ty the Tasmanian Tiger,2002-09-10,EA,EA,"PS2, GC, XB",Platform,67.66666666666667,1.6199999999999999,86.66666666666667
